entry_index,positive_affect_llm,negative_affect_llm,model,status,error
5610,0.3,0.4,gpt-4.1-mini,success,
5627,0.3,0.2,gpt-4.1-mini,success,
5638,0.2,0.6,gpt-4.1-mini,success,
5664,0.2,0.8,gpt-4.1-mini,success,
5705,0.2,0.8,gpt-4.1-mini,success,
5727,0.6,0.3,gpt-4.1-mini,success,
5731,0.0,0.1,gpt-4.1-mini,success,
5766,0.9,0.0,gpt-4.1-mini,success,
5776,0.8,0.2,gpt-4.1-mini,success,
5809,0.95,0.0,gpt-4.1-mini,success,
5830,0.85,0.1,gpt-4.1-mini,success,
5846,0.4,0.3,gpt-4.1-mini,success,
5892,0.8,0.1,gpt-4.1-mini,success,
5937,0.4,0.2,gpt-4.1-mini,success,
5943,0.6,0.3,gpt-4.1-mini,success,
5969,0.2,0.6,gpt-4.1-mini,success,
5992,0.2,0.6,gpt-4.1-mini,success,
6032,0.0,0.0,gpt-4.1-mini,success,
6058,0.2,0.0,gpt-4.1-mini,success,
6080,0.3,0.2,gpt-4.1-mini,success,
6089,0.7,0.1,gpt-4.1-mini,success,
6100,0.4,0.6,gpt-4.1-mini,success,
6124,0.6,0.1,gpt-4.1-mini,success,
6143,0.6,0.4,gpt-4.1-mini,success,
6170,0.95,0.05,gpt-4.1-mini,success,
6198,0.5,0.5,gpt-4.1-mini,success,
6237,0.6,0.4,gpt-4.1-mini,success,
6275,0.3,0.6,gpt-4.1-mini,success,
6313,0.3,0.1,gpt-4.1-mini,success,
6342,0.2,0.1,gpt-4.1-mini,success,
6356,0.0,0.0,gpt-4.1-mini,success,
6362,0.0,0.0,gpt-4.1-mini,success,
6378,0.7,0.0,gpt-4.1-mini,success,
6383,0.1,0.0,gpt-4.1-mini,success,
6395,0.1,0.0,gpt-4.1-mini,success,
6401,0.3,0.0,gpt-4.1-mini,success,
6407,0.1,0.3,gpt-4.1-mini,success,
6423,0.1,0.0,gpt-4.1-mini,success,
6429,0.1,0.1,gpt-4.1-mini,success,
6462,0.4,0.0,gpt-4.1-mini,success,
6485,0.7,0.0,gpt-4.1-mini,success,
6529,0.0,0.8,gpt-4.1-mini,success,
6557,0.3,0.1,gpt-4.1-mini,success,
6573,0.0,0.0,gpt-4.1-mini,success,
6583,0.8,0.0,gpt-4.1-mini,success,
6594,0.1,0.8,gpt-4.1-mini,success,
