entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
6,35,0,0,0,0,1,1,2,0,0,1
12,135,0,4,0,0,2,0,0,4,2,2
17,99,1,0,0,1,2,1,1,2,2,2
24,210,3,5,1,1,2,0,3,4,5,2
31,320,0,5,0,0,4,0,1,5,5,0
48,20,0,1,0,0,0,0,0,0,1,0
60,10,0,1,0,0,0,0,0,0,0,0
76,3,0,0,0,0,0,0,0,0,0,0
80,21,1,0,1,1,0,1,0,0,0,1
84,29,0,0,0,0,0,0,0,0,0,0
95,19,0,1,0,0,0,0,0,0,1,0
102,14,0,0,0,0,0,0,0,0,0,0
122,117,0,2,0,0,0,0,1,2,5,0
137,8,0,0,0,0,0,0,0,0,0,0
143,280,0,3,0,4,4,0,0,10,12,1
168,33,0,1,0,0,1,0,1,1,1,1
182,81,0,1,0,0,0,0,0,1,1,0
197,25,0,0,0,0,0,0,0,1,1,0
207,19,1,0,0,0,0,0,0,0,1,1
218,41,0,1,0,0,1,0,1,1,1,0
222,50,0,2,0,0,0,0,0,0,0,0
233,72,0,0,0,0,0,0,0,0,3,1
246,54,0,1,0,0,0,0,0,0,1,0
259,14,0,0,0,0,0,0,0,1,1,0
273,17,0,0,0,0,0,0,0,0,0,0
279,11,0,0,0,0,1,0,0,0,2,0
285,281,6,3,5,8,2,5,3,7,8,9
297,87,0,1,0,0,0,0,1,3,1,2
312,26,1,0,0,0,0,0,1,0,0,1
333,107,0,1,0,0,1,0,0,2,3,0
360,18,0,0,0,0,0,0,0,0,1,0
374,6,0,0,0,0,0,0,0,0,0,0
391,21,0,0,0,0,1,0,0,0,1,0
408,19,0,0,0,0,0,0,0,0,1,0
415,56,0,2,0,0,1,0,1,1,2,0
426,15,0,0,0,0,0,0,0,0,1,0
444,27,0,0,0,0,2,0,1,1,3,0
462,36,0,0,1,1,1,1,0,1,1,3
484,6,0,0,0,0,0,0,0,0,0,0
497,76,0,1,0,0,0,0,0,1,2,0
516,26,0,1,0,0,1,0,0,1,1,1
527,60,0,1,1,1,2,1,1,2,2,1
538,9,0,0,0,0,0,0,0,0,0,0
554,211,0,2,0,0,0,0,0,1,3,1
572,44,0,0,0,0,0,0,0,1,0,0
591,6,0,0,0,0,0,0,0,0,0,0
608,1,0,0,0,0,0,0,0,0,0,0
617,39,0,0,0,0,0,0,0,0,1,0
625,56,0,1,0,1,0,0,1,1,0,1
647,26,1,0,1,1,0,1,1,0,0,1
669,93,0,1,0,0,0,0,0,3,5,0
700,72,1,0,0,0,0,0,0,1,3,1
720,18,0,0,0,0,0,0,0,0,1,0
728,54,0,0,0,0,0,0,0,0,0,0
740,138,1,2,0,1,0,1,0,3,6,3
762,5,0,0,0,0,0,0,0,0,0,0
785,8,0,0,0,0,0,0,0,1,0,0
791,60,1,1,1,2,1,2,2,3,4,3
816,35,0,0,0,0,1,0,0,1,1,0
844,8,0,0,0,0,0,0,0,0,1,0
859,70,0,2,0,0,1,0,0,1,1,1
871,144,0,6,0,0,1,1,0,2,3,0
887,35,0,0,0,0,0,0,0,2,0,0
908,79,0,4,0,0,1,0,1,2,3,0
921,28,0,0,0,0,0,0,0,0,0,0
931,5,0,0,0,0,0,0,0,0,0,0
939,2,0,0,0,0,0,0,0,0,0,0
950,7,0,0,0,0,0,0,0,0,0,0
970,33,0,0,1,1,0,1,0,0,1,1
988,30,0,1,0,1,1,0,1,2,1,0
1005,67,1,0,0,0,0,0,0,2,1,1
1020,9,0,0,0,0,0,0,0,0,1,0
1040,63,0,1,0,0,1,0,0,2,3,0
1061,18,0,0,0,0,0,0,0,0,0,0
1086,62,0,1,0,0,1,0,0,2,3,0
1103,44,0,1,0,1,0,0,0,0,0,0
1129,75,0,0,0,1,0,1,0,1,1,1
1151,111,0,3,1,2,1,0,1,1,3,1
1173,9,0,1,0,0,0,0,0,0,1,0
1191,299,0,6,0,2,5,0,3,6,8,2
1211,13,0,0,1,0,0,0,0,0,0,0
1224,89,1,2,0,0,2,0,1,2,3,1
1244,73,0,0,0,1,0,2,1,1,3,2
1260,53,0,3,0,1,2,0,1,2,4,0
1280,9,0,0,0,0,0,0,0,0,0,0
1310,11,0,0,0,0,0,0,0,0,0,0
1345,4,0,0,0,0,0,0,0,0,0,0
1355,15,0,0,0,0,0,0,0,0,0,0
1366,23,1,1,0,1,1,2,0,1,1,1
1392,6,0,0,0,0,0,0,0,0,0,0
1410,5,0,0,0,0,0,0,0,0,0,0
1422,57,0,1,0,1,0,1,0,2,3,3
1429,8,0,0,0,0,0,0,0,0,0,0
1435,4,0,0,0,0,0,0,0,0,0,0
1444,16,0,0,0,0,0,0,0,0,0,0
1451,118,0,2,1,0,1,1,0,0,2,0
1460,55,0,2,0,0,0,0,0,1,1,0
1466,94,1,2,0,2,1,0,1,3,3,3
1473,28,1,1,1,0,0,0,0,0,1,1
1481,56,0,1,0,0,0,0,0,0,1,0
1489,18,0,1,0,0,0,0,0,0,0,0
1497,5,0,0,0,0,0,0,0,0,0,0
1514,33,0,0,0,0,0,0,1,0,0,0
1542,271,0,5,0,1,3,2,2,4,8,2
1571,163,0,0,1,0,1,1,2,5,3,2
1596,2,0,0,0,0,0,0,0,0,0,0
1604,179,2,1,0,0,1,0,2,1,3,2
1636,90,0,2,0,0,1,0,0,2,4,0
1663,33,0,0,0,0,1,0,0,1,1,0
1678,10,0,1,0,0,0,0,0,0,0,0
1694,62,0,0,0,0,0,0,0,0,0,0
1704,9,0,0,0,0,0,0,0,0,0,0
1716,26,0,1,0,0,0,0,0,0,0,0
1720,11,0,1,0,0,0,0,0,0,0,0
1748,106,0,4,1,0,0,1,0,1,4,0
1768,87,1,5,1,0,1,0,1,2,1,2
1772,15,0,0,0,0,0,0,0,0,1,0
1796,17,0,1,0,0,1,0,1,1,1,0
1803,38,0,0,0,0,0,0,0,0,1,0
1815,13,0,1,0,0,0,0,0,0,0,0
1835,20,0,1,0,1,0,1,0,0,0,1
1849,9,0,1,0,0,0,0,0,0,0,0
1879,12,0,1,0,0,0,0,0,0,0,0
1907,21,0,0,0,0,0,0,0,0,0,0
1915,31,0,0,0,1,0,0,0,0,0,0
1922,235,0,5,0,0,3,0,3,5,10,1
1932,39,0,0,0,0,0,0,0,0,2,0
1943,88,0,2,0,1,4,1,1,2,7,1
1954,64,0,1,0,0,1,0,0,2,3,0
1971,14,0,0,0,0,0,0,0,0,0,0
1993,45,1,0,0,0,0,1,0,0,0,1
2016,13,0,0,0,0,0,0,0,0,0,0
2032,24,0,0,0,0,0,0,0,0,0,0
2046,66,1,1,1,2,2,1,1,2,3,2
2060,41,0,0,0,0,0,0,0,0,1,1
2077,230,2,5,2,2,7,3,3,4,19,4
2097,19,0,1,0,0,1,0,1,1,1,1
2112,35,0,0,1,0,0,1,0,0,0,1
2126,15,0,0,0,0,0,0,0,0,0,0
2143,151,0,2,2,0,2,3,1,3,8,1
2158,51,0,1,0,0,0,1,0,0,1,1
2170,40,1,0,0,1,0,0,1,1,2,1
2199,26,0,2,0,0,0,0,0,0,2,0
2204,15,0,1,0,1,0,0,0,0,0,1
2211,5,0,0,0,0,0,0,0,0,0,0
2227,44,0,0,0,0,1,0,0,0,3,0
2242,21,0,1,0,0,1,0,1,2,2,0
2258,49,0,1,0,1,2,1,1,2,2,1
2273,95,0,1,0,0,1,3,1,1,1,3
2298,64,0,0,0,0,1,0,0,2,4,0
2326,67,0,2,0,0,1,0,1,2,1,2
2339,12,0,2,0,0,0,0,0,0,0,0
2356,421,4,14,2,3,11,3,9,10,18,7
2373,114,0,1,0,3,2,1,0,3,3,2
2379,19,0,0,0,0,0,0,0,0,0,0
2388,87,0,5,0,0,3,1,1,3,5,0
2404,28,0,2,0,0,2,0,1,1,4,0
2411,13,0,0,0,0,0,0,1,0,0,0
2421,23,0,0,0,0,0,0,0,0,1,0
2426,30,0,0,0,1,0,0,0,0,1,1
2432,6,0,0,0,0,0,0,0,0,0,0
2452,32,0,0,0,0,0,0,0,0,2,0
2473,5,0,0,0,0,0,0,0,0,0,0
2486,163,2,2,0,1,0,3,0,2,3,3
2494,94,0,1,1,0,2,0,0,2,4,2
2510,26,0,2,0,0,1,0,2,1,2,0
2531,17,0,0,0,0,0,0,0,0,0,0
2551,110,0,1,0,0,2,0,0,4,4,0
2568,55,1,0,0,1,0,0,0,1,1,1
2593,11,0,0,0,0,0,0,0,0,0,0
2597,40,0,0,0,0,0,0,0,0,2,0
2604,81,0,1,0,0,1,0,0,2,4,0
2613,25,0,0,0,0,0,0,0,0,0,0
2620,230,0,0,0,1,2,0,0,5,11,2
2629,60,1,2,1,1,1,1,1,2,2,1
2634,17,0,0,0,0,0,0,0,0,0,0
