entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
4,84,0,1,1,0,1,1,1,1,1,0
14,101,0,0,0,2,1,0,0,1,2,2
24,114,1,3,1,1,4,1,3,5,6,4
32,43,0,1,0,0,1,0,1,1,2,0
45,126,1,3,1,1,2,1,1,2,2,1
52,196,1,2,0,3,2,1,0,3,5,5
60,40,0,0,0,0,0,0,0,0,1,0
78,110,1,3,1,2,3,1,1,4,8,1
85,14,0,0,0,0,0,0,0,0,0,0
103,31,0,0,0,0,0,0,0,1,2,0
113,32,0,0,0,0,1,0,0,1,3,0
128,78,0,1,0,0,1,0,1,1,3,0
135,41,0,2,1,0,2,1,1,3,3,1
153,25,0,2,0,0,1,1,1,2,2,1
160,18,0,1,0,0,2,0,1,2,2,0
166,5,0,0,0,0,0,0,0,0,0,0
185,370,2,3,1,5,4,3,6,6,7,4
194,69,0,2,0,1,3,0,1,5,7,1
222,115,0,1,0,0,4,0,0,5,6,0
240,20,0,1,0,0,0,0,0,0,1,0
263,134,2,2,0,1,2,0,1,7,9,1
287,48,0,0,0,0,1,0,0,2,2,0
307,44,0,0,0,0,1,1,0,1,1,1
321,183,1,1,1,2,4,0,0,6,8,2
337,104,0,2,0,0,4,0,0,4,4,0
352,53,0,0,0,0,0,0,0,0,0,0
363,167,1,5,1,1,4,2,3,4,4,2
373,74,0,0,0,0,0,0,0,0,0,0
380,272,0,4,1,0,5,0,1,7,11,5
394,171,0,0,0,0,1,0,0,1,5,1
402,416,1,6,1,1,10,4,4,10,20,6
416,196,2,3,1,0,4,3,2,4,8,4
433,135,0,0,0,0,1,0,0,1,3,0
443,5,0,0,0,0,0,0,0,0,0,0
467,7,0,1,0,1,0,0,0,0,0,1
482,47,0,0,0,0,0,0,0,0,0,1
500,27,0,0,0,0,0,0,0,0,0,0
507,64,0,1,0,0,0,0,0,0,0,0
525,25,0,0,0,0,0,0,0,1,0,0
549,72,0,1,0,0,0,0,0,2,2,0
560,243,1,0,3,3,1,1,0,2,3,4
580,306,0,4,0,1,2,2,0,7,7,6
600,140,1,2,0,0,1,1,1,1,5,2
613,187,3,6,1,0,3,1,4,3,7,2
633,70,0,0,0,0,0,0,0,0,1,0
646,305,0,1,1,0,7,0,2,6,15,1
661,200,1,3,0,2,3,0,0,3,9,1
678,226,3,0,2,5,0,4,1,2,6,4
688,13,1,0,1,0,1,0,0,0,2,1
695,102,0,5,0,1,2,1,2,2,3,2
705,178,1,2,2,2,2,1,1,2,7,1
715,335,1,4,2,3,8,2,3,6,15,4
727,5,0,0,0,0,0,0,0,0,0,0
745,86,0,1,0,0,2,0,1,2,3,0
753,471,5,4,3,2,6,3,2,7,14,5
764,245,2,2,2,0,4,1,0,4,9,4
775,14,0,0,0,0,0,0,0,2,0,0
792,14,0,0,0,0,0,0,0,0,0,0
807,15,0,0,0,0,0,0,0,1,1,1
820,72,0,1,0,0,1,0,0,1,2,0
835,35,0,0,0,0,0,0,0,0,0,0
852,51,0,4,0,0,1,0,0,3,3,2
870,19,0,0,0,0,0,0,1,0,0,0
881,14,0,0,0,0,0,0,0,0,0,0
898,64,1,0,0,0,0,0,0,3,3,1
910,26,0,1,0,0,1,0,0,2,1,0
