entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
5610,619,2,6,0,6,4,2,4,8,25,6
5627,103,0,2,0,0,1,0,1,1,2,1
5638,38,1,1,0,2,1,0,0,1,2,2
5664,147,0,0,0,0,0,0,0,1,3,1
5705,261,1,8,1,1,7,1,3,3,14,1
5727,199,1,4,0,1,4,3,3,6,12,1
5731,7,0,0,0,0,0,0,0,0,0,0
5766,4,0,0,0,0,0,0,0,1,1,0
5776,81,0,1,0,0,1,0,0,1,5,0
5809,1,0,0,0,0,0,0,0,0,0,0
5830,326,1,4,1,1,6,1,2,5,12,1
5846,291,1,4,1,0,3,0,4,6,7,1
5892,413,2,5,1,5,9,5,3,12,22,6
5937,269,0,1,0,2,2,0,0,5,8,2
5943,378,1,3,3,2,5,2,4,12,10,2
5969,122,0,3,0,0,0,0,1,2,7,0
5992,127,1,0,0,0,0,1,0,1,1,1
6032,25,0,0,0,0,0,0,0,0,0,0
6058,8,0,1,0,0,0,0,0,0,0,0
6080,71,0,1,0,0,0,0,0,0,1,1
6089,76,0,0,0,0,0,0,0,1,0,0
6100,117,0,2,0,0,4,1,1,4,5,0
6124,169,0,0,0,0,1,0,1,5,8,0
6143,212,2,6,2,2,3,5,5,4,6,5
6170,392,2,8,2,2,9,3,5,9,20,3
6198,397,0,6,0,1,8,1,4,11,19,4
6237,375,1,6,0,1,13,2,7,15,18,3
6275,103,0,1,0,0,1,0,1,1,1,0
6313,106,1,2,0,0,2,0,1,4,5,2
6342,55,0,0,0,0,0,0,0,0,0,0
6356,4,0,0,0,0,0,0,0,1,1,0
6362,4,0,0,0,0,0,0,0,0,0,0
6378,18,0,0,0,0,0,0,0,0,2,0
6383,7,0,0,0,0,0,0,0,0,1,0
6395,8,0,0,0,0,0,0,0,0,0,0
6401,4,0,0,0,0,0,0,0,0,0,0
6407,22,0,1,0,0,0,0,0,0,1,0
6423,5,0,0,0,0,0,0,0,0,0,0
6429,4,0,0,0,0,0,0,0,0,0,0
6462,72,0,1,0,1,1,0,0,4,4,1
6485,41,0,2,0,0,1,0,1,2,4,0
6529,51,0,0,0,0,1,0,0,1,1,0
6557,34,0,2,0,1,0,0,0,0,2,0
6573,9,0,0,0,0,0,0,0,0,0,0
6583,32,0,0,0,0,1,0,0,1,1,0
6594,15,2,0,2,2,0,0,2,0,0,2
6607,15,2,0,2,2,0,0,2,0,0,2
6621,19,0,1,0,0,0,0,0,0,0,0
6647,89,0,1,0,0,0,0,0,0,1,2
6678,202,6,1,3,5,3,6,4,1,6,6
6699,618,3,9,2,5,9,4,2,9,24,10
6718,5,0,0,0,0,0,0,0,0,0,0
6740,722,4,20,1,2,17,5,10,20,24,5
6771,139,0,0,0,0,1,0,0,1,2,1
6797,72,0,1,0,0,0,1,0,1,2,1
6825,129,1,1,1,0,0,0,0,0,4,3
6848,536,2,4,2,3,3,3,2,6,11,10
6868,473,5,13,1,4,8,3,5,14,22,7
6900,112,0,2,0,1,1,1,0,1,3,2
6929,182,0,2,0,3,0,2,0,1,3,2
6951,73,0,1,0,0,1,0,0,1,2,0
6974,64,0,0,0,0,0,0,0,1,1,0
6978,239,0,10,0,0,6,2,2,9,16,3
7005,221,1,6,1,0,3,2,2,6,9,1
7046,558,3,9,1,1,7,2,7,10,16,7
7083,300,1,13,2,2,15,5,12,13,21,5
7114,188,0,4,0,0,2,0,0,2,9,2
7141,114,0,3,0,0,1,0,1,2,7,1
7160,13,1,0,0,2,1,1,2,0,1,2
7178,8,0,0,0,0,0,0,0,0,0,0
7212,226,0,5,0,0,3,0,1,4,6,3
7242,147,0,1,0,1,2,1,1,5,4,1
7269,274,0,2,0,1,0,0,0,1,6,2
7308,606,5,10,6,8,3,8,5,6,10,7
7344,323,2,5,2,6,5,3,3,6,12,4
7354,60,0,2,0,0,2,0,0,2,2,0
7368,193,1,3,0,1,2,2,1,3,9,2
7377,411,2,6,2,4,10,6,6,13,15,6
7387,182,0,0,0,1,0,0,0,0,1,1
7398,353,0,10,0,1,5,1,3,11,20,3
