entry_index,positive_affect_llm,negative_affect_llm,model,status,error
6,0.2,0.3,gpt-4.1-mini,success,
12,0.7,0.1,gpt-4.1-mini,success,
17,0.3,0.4,gpt-4.1-mini,success,
24,0.85,0.1,gpt-4.1-mini,success,
31,0.6,0.0,gpt-4.1-mini,success,
48,0.7,0.0,gpt-4.1-mini,success,
60,0.3,0.4,gpt-4.1-mini,success,
76,0.9,0.0,gpt-4.1-mini,success,
80,0.8,0.1,gpt-4.1-mini,success,
84,0.1,0.3,gpt-4.1-mini,success,
95,0.9,0.0,gpt-4.1-mini,success,
102,0.0,0.3,gpt-4.1-mini,success,
122,0.2,0.8,gpt-4.1-mini,success,
137,0.7,0.0,gpt-4.1-mini,success,
143,0.1,0.9,gpt-4.1-mini,success,
168,0.4,0.2,gpt-4.1-mini,success,
182,0.5,0.3,gpt-4.1-mini,success,
197,0.3,0.0,gpt-4.1-mini,success,
207,0.1,0.4,gpt-4.1-mini,success,
218,0.7,0.1,gpt-4.1-mini,success,
222,0.1,0.3,gpt-4.1-mini,success,
233,0.7,0.1,gpt-4.1-mini,success,
246,0.7,0.0,gpt-4.1-mini,success,
259,0.7,0.0,gpt-4.1-mini,success,
273,0.0,0.1,gpt-4.1-mini,success,
279,0.2,0.0,gpt-4.1-mini,success,
285,0.1,0.9,gpt-4.1-mini,success,
297,0.1,0.1,gpt-4.1-mini,success,
312,0.1,0.3,gpt-4.1-mini,success,
333,0.1,0.7,gpt-4.1-mini,success,
360,0.8,0.1,gpt-4.1-mini,success,
374,0.9,0.0,gpt-4.1-mini,success,
391,0.9,0.0,gpt-4.1-mini,success,
408,0.7,0.1,gpt-4.1-mini,success,
415,0.6,0.2,gpt-4.1-mini,success,
426,0.3,0.2,gpt-4.1-mini,success,
444,0.3,0.1,gpt-4.1-mini,success,
462,0.1,0.4,gpt-4.1-mini,success,
484,0.9,0.0,gpt-4.1-mini,success,
497,0.8,0.1,gpt-4.1-mini,success,
516,0.8,0.2,gpt-4.1-mini,success,
527,0.8,0.1,gpt-4.1-mini,success,
538,0.1,0.4,gpt-4.1-mini,success,
554,0.6,0.2,gpt-4.1-mini,success,
572,0.1,0.7,gpt-4.1-mini,success,
591,0.1,0.0,gpt-4.1-mini,success,
608,0.1,0.0,gpt-4.1-mini,success,
617,0.0,0.8,gpt-4.1-mini,success,
625,0.1,0.7,gpt-4.1-mini,success,
647,0.1,0.4,gpt-4.1-mini,success,
669,0.8,0.0,gpt-4.1-mini,success,
700,0.3,0.0,gpt-4.1-mini,success,
720,0.3,0.2,gpt-4.1-mini,success,
728,0.6,0.1,gpt-4.1-mini,success,
740,0.2,0.6,gpt-4.1-mini,success,
762,0.6,0.0,gpt-4.1-mini,success,
785,0.1,0.0,gpt-4.1-mini,success,
791,0.1,0.7,gpt-4.1-mini,success,
816,0.1,0.3,gpt-4.1-mini,success,
844,0.6,0.2,gpt-4.1-mini,success,
859,0.4,0.2,gpt-4.1-mini,success,
871,0.7,0.1,gpt-4.1-mini,success,
887,0.0,0.0,gpt-4.1-mini,success,
908,0.7,0.1,gpt-4.1-mini,success,
921,0.7,0.1,gpt-4.1-mini,success,
931,0.8,0.0,gpt-4.1-mini,success,
939,0.0,0.0,gpt-4.1-mini,success,
950,0.1,0.0,gpt-4.1-mini,success,
970,0.4,0.3,gpt-4.1-mini,success,
988,0.6,0.2,gpt-4.1-mini,success,
1005,0.9,0.0,gpt-4.1-mini,success,
1020,0.1,0.2,gpt-4.1-mini,success,
1040,0.3,0.2,gpt-4.1-mini,success,
1061,0.2,0.0,gpt-4.1-mini,success,
1086,0.6,0.2,gpt-4.1-mini,success,
1103,0.4,0.0,gpt-4.1-mini,success,
1129,0.3,0.7,gpt-4.1-mini,success,
