entry_index,positive_affect_llm,negative_affect_llm,model,status,error
4,0.7,0.3,gpt-4.1-mini,success,
14,0.4,0.5,gpt-4.1-mini,success,
24,0.0,0.7,gpt-4.1-mini,success,
32,0.7,0.1,gpt-4.1-mini,success,
45,0.1,0.8,gpt-4.1-mini,success,
52,0.1,0.9,gpt-4.1-mini,success,
60,0.3,0.1,gpt-4.1-mini,success,
78,0.6,0.3,gpt-4.1-mini,success,
85,0.0,0.0,gpt-4.1-mini,success,
103,0.3,0.4,gpt-4.1-mini,success,
113,0.7,0.0,gpt-4.1-mini,success,
128,0.8,0.1,gpt-4.1-mini,success,
135,0.9,0.1,gpt-4.1-mini,success,
153,0.1,0.9,gpt-4.1-mini,success,
160,0.85,0.1,gpt-4.1-mini,success,
166,0.0,0.0,gpt-4.1-mini,success,
185,0.5,0.5,gpt-4.1-mini,success,
194,0.3,0.4,gpt-4.1-mini,success,
222,0.2,0.8,gpt-4.1-mini,success,
240,0.1,0.2,gpt-4.1-mini,success,
263,0.3,0.0,gpt-4.1-mini,success,
287,0.2,0.5,gpt-4.1-mini,success,
307,0.3,0.1,gpt-4.1-mini,success,
321,0.2,0.8,gpt-4.1-mini,success,
337,0.2,0.4,gpt-4.1-mini,success,
352,0.7,0.3,gpt-4.1-mini,success,
363,0.6,0.2,gpt-4.1-mini,success,
373,0.7,0.1,gpt-4.1-mini,success,
380,0.2,0.8,gpt-4.1-mini,success,
394,0.2,0.8,gpt-4.1-mini,success,
402,0.3,0.5,gpt-4.1-mini,success,
416,0.2,0.6,gpt-4.1-mini,success,
433,0.6,0.1,gpt-4.1-mini,success,
443,0.0,0.0,gpt-4.1-mini,success,
467,0.0,0.0,gpt-4.1-mini,success,
482,0.1,0.2,gpt-4.1-mini,success,
500,0.1,0.0,gpt-4.1-mini,success,
507,0.2,0.0,gpt-4.1-mini,success,
525,0.8,0.0,gpt-4.1-mini,success,
549,0.0,0.8,gpt-4.1-mini,success,
560,0.3,0.7,gpt-4.1-mini,success,
580,0.2,0.6,gpt-4.1-mini,success,
600,0.3,0.7,gpt-4.1-mini,success,
613,0.7,0.1,gpt-4.1-mini,success,
633,0.1,0.6,gpt-4.1-mini,success,
646,0.4,0.5,gpt-4.1-mini,success,
661,0.5,0.4,gpt-4.1-mini,success,
678,0.7,0.3,gpt-4.1-mini,success,
688,0.9,0.0,gpt-4.1-mini,success,
695,0.3,0.7,gpt-4.1-mini,success,
705,0.8,0.3,gpt-4.1-mini,success,
715,0.9,0.1,gpt-4.1-mini,success,
727,0.0,0.0,gpt-4.1-mini,success,
745,0.9,0.0,gpt-4.1-mini,success,
753,0.8,0.1,gpt-4.1-mini,success,
764,0.8,0.1,gpt-4.1-mini,success,
775,0.0,0.0,gpt-4.1-mini,success,
792,0.0,0.2,gpt-4.1-mini,success,
807,0.0,0.0,gpt-4.1-mini,success,
820,0.7,0.0,gpt-4.1-mini,success,
835,0.6,0.1,gpt-4.1-mini,success,
852,0.4,0.1,gpt-4.1-mini,success,
870,0.0,0.6,gpt-4.1-mini,success,
881,0.0,0.0,gpt-4.1-mini,success,
898,0.3,0.2,gpt-4.1-mini,success,
910,0.1,0.3,gpt-4.1-mini,success,
920,0.7,0.2,gpt-4.1-mini,success,
933,0.2,0.1,gpt-4.1-mini,success,
954,0.6,0.1,gpt-4.1-mini,success,
968,0.1,0.7,gpt-4.1-mini,success,
979,0.0,0.0,gpt-4.1-mini,success,
1000,0.7,0.0,gpt-4.1-mini,success,
1021,0.9,0.0,gpt-4.1-mini,success,
